,layered,modular monolith,microkernel,pipline,,,service-based,microservices,event-driven
agility,⭐️,⭐️⭐️,⭐️⭐️⭐️,⭐️⭐️,,,⭐️⭐️⭐️⭐️,⭐️⭐️⭐️⭐️⭐️,⭐️⭐️⭐️
abstraction,⭐️,⭐️,⭐️⭐️⭐️,⭐️⭐️⭐️,,,⭐️,⭐️,⭐️⭐️⭐️⭐️
configurability,⭐️,⭐️,⭐️⭐️⭐️⭐️,⭐️⭐️,,,⭐️⭐️,⭐️⭐️⭐️,⭐️⭐️
cost,⭐️⭐️⭐️⭐️⭐️,⭐️⭐️⭐️⭐️⭐️,⭐️⭐️⭐️⭐️⭐️,⭐️⭐️⭐️⭐️⭐️,,,⭐️⭐️⭐️⭐️,⭐️,⭐️⭐️⭐️
deployability,⭐️,⭐️⭐️,⭐️⭐️⭐️,⭐️⭐️,,,⭐️⭐️⭐️⭐️,⭐️⭐️⭐️⭐️,⭐️⭐️⭐️
domain part.,⭐️,⭐️⭐️⭐️⭐️⭐️,⭐️⭐️⭐️⭐️⭐️,⭐️,,,⭐️⭐️⭐️⭐️⭐️,⭐️⭐️⭐️⭐️⭐️,⭐️⭐️⭐️⭐️⭐️
elasticity,⭐️,⭐️,⭐️,⭐️,,,⭐️⭐️,⭐️⭐️⭐️⭐️⭐️,⭐️⭐️⭐️⭐️
evolvability,⭐️,⭐️,⭐️⭐️⭐️,⭐️⭐️⭐️,,,⭐️⭐️⭐️,⭐️⭐️⭐️⭐️⭐️,⭐️⭐️⭐️⭐️⭐️
fault-tolerance,⭐️,⭐️,⭐️,⭐️,,,⭐️⭐️⭐️⭐️,⭐️⭐️⭐️⭐️,⭐️⭐️⭐️⭐️⭐️
interation,⭐️,⭐️,⭐️⭐️⭐️,⭐️⭐️⭐️,,,⭐️⭐️,⭐️⭐️⭐️,⭐️⭐️⭐️
interoperability,⭐️,⭐️,⭐️⭐️⭐️,⭐️⭐️,,,⭐️⭐️,⭐️⭐️⭐️,⭐️⭐️⭐️
maintainability,⭐️⭐️,⭐️⭐️⭐️,⭐️⭐️⭐️⭐️,⭐️⭐️⭐️,,,⭐️⭐️,⭐️⭐️⭐️⭐️⭐️,⭐️⭐️⭐️
modifiability,⭐️⭐️,⭐️⭐️⭐️,⭐️⭐️⭐️⭐️,⭐️⭐️,,,⭐️⭐️,⭐️⭐️⭐️⭐️⭐️,⭐️⭐️⭐️
modularity,⭐️,⭐️,⭐️⭐️⭐️,⭐️⭐️⭐️,,,⭐️⭐️⭐️⭐️,⭐️⭐️⭐️⭐️⭐️,⭐️⭐️⭐️⭐️
performance,⭐️⭐️⭐️,⭐️⭐️⭐️,⭐️⭐️⭐️,⭐️⭐️,,,⭐️⭐️⭐️,⭐️⭐️,⭐️⭐️⭐️⭐️⭐️
reliability,⭐️⭐️⭐️,⭐️⭐️⭐️,⭐️⭐️⭐️,⭐️⭐️⭐️,,,⭐️⭐️⭐️⭐️,⭐️⭐️⭐️⭐️,⭐️⭐️⭐️
scalability,⭐️,⭐️,⭐️,⭐️,,,⭐️⭐️⭐️,⭐️⭐️⭐️⭐️⭐️,⭐️⭐️⭐️⭐️⭐️
security,⭐️⭐️,⭐️⭐️,⭐️⭐️⭐️,⭐️⭐️⭐️,,,⭐️⭐️⭐️,⭐️⭐️⭐️⭐️⭐️,⭐️⭐️⭐️⭐️
simplicity,⭐️⭐️⭐️⭐️⭐️,⭐️⭐️⭐️⭐️⭐️,⭐️⭐️⭐️⭐️,⭐️⭐️⭐️⭐️⭐️,,,⭐️⭐️⭐️,⭐️,⭐️
testability,⭐️⭐️,⭐️⭐️,⭐️⭐️⭐️,⭐️⭐️⭐️,,,⭐️⭐️⭐️⭐️,⭐️⭐️⭐️⭐️,⭐️⭐️
workflow,⭐️,⭐️,⭐️⭐️,⭐️⭐️⭐️⭐️,,,⭐️,⭐️,⭐️⭐️⭐️⭐️⭐️